{60ad353c-ca88-4ac1-a65d-e4a000afbfb4,130}
{85b70d77-f35e-4f3d-97ba-1ee4da121ef4,1656}
{248def67-2be7-47d6-9762-a96baa224d2f,1210}
{af4df746-ebcf-4fe7-a888-081b8cbedd81,1629}
{85b70d77-f35e-4f3d-97ba-1ee4da121ef4,1656}
{85b70d77-f35e-4f3d-97ba-1ee4da121ef4,1656}
{ab224ea1-36dc-4e3f-9640-1ff013b78219,1661}
{ab224ea1-36dc-4e3f-9640-1ff013b78219,1661}
{78ebe105-7db2-4057-a165-237d4aae7cb4,50}
{a8525d3c-1d44-4329-ae7e-6e25808c4c84,54}
{98878ad4-8f3d-46e2-aef3-cafd0671f9a8,697}
{59efaf7c-338b-4925-bf6d-bda2a3619076,914}
{f21475cc-8845-4564-b01f-622a9725b1cb,1020}
{248def67-2be7-47d6-9762-a96baa224d2f,1210}
{0bf1765b-3b29-461b-b015-38ac922bdffe,1494}
{af4df746-ebcf-4fe7-a888-081b8cbedd81,1629}
{85b70d77-f35e-4f3d-97ba-1ee4da121ef4,1656}
{85b70d77-f35e-4f3d-97ba-1ee4da121ef4,1656}
{248def67-2be7-47d6-9762-a96baa224d2f,1210}
{af4df746-ebcf-4fe7-a888-081b8cbedd81,1629}
{85b70d77-f35e-4f3d-97ba-1ee4da121ef4,1656}
{85b70d77-f35e-4f3d-97ba-1ee4da121ef4,1656}
{ea3d4d42-0e7c-4ec9-9b30-0400ec127df1,1730}
{6f1df4b8-30af-417b-a12a-4e72e190c76b,1788}
{78ebe105-7db2-4057-a165-237d4aae7cb4,50}
{a8525d3c-1d44-4329-ae7e-6e25808c4c84,54}
{59efaf7c-338b-4925-bf6d-bda2a3619076,914}
{f21475cc-8845-4564-b01f-622a9725b1cb,1020}
{248def67-2be7-47d6-9762-a96baa224d2f,1210}
{af4df746-ebcf-4fe7-a888-081b8cbedd81,1629}
{85b70d77-f35e-4f3d-97ba-1ee4da121ef4,1656}
{85b70d77-f35e-4f3d-97ba-1ee4da121ef4,1656}
{248def67-2be7-47d6-9762-a96baa224d2f,1210}
{af4df746-ebcf-4fe7-a888-081b8cbedd81,1629}
{85b70d77-f35e-4f3d-97ba-1ee4da121ef4,1656}
{85b70d77-f35e-4f3d-97ba-1ee4da121ef4,1656}
{ba858381-f255-46c7-9d1a-339a542895f6,1798}
{f2445902-4802-4367-b4a9-6f7b88a82cc3,1934}
{a7917020-9d2a-4cd2-b596-c72963d32f56,2244}


{a0ba440f-73e1-4507-9773-27f531b036d7,1}
{5be16e9f-af94-43ef-ac33-b8067030a4d9,55}
{d704103e-754b-4450-9b4e-0ce0b540e939,112}
{dc09e5d3-88d2-4cd5-9173-d14ec1f83250,156}
{d876672f-8a3c-47cf-8bb4-0509b7211fc9,205}
{d2895cfe-6dca-4b44-a37f-db4d3adb1e0a,431}
{d4cb8795-b0ee-4fb3-9deb-294b91107f0e,503}
{e52dfeef-8c1a-4ecd-b853-a06779ed1b83,551}
{34a37cad-96ae-4627-a11f-7f0825336d18,615}
{eb7e7b88-b5f9-418f-88ef-eb4af38e53b9,828}
{4f260dcb-8f12-4132-9b70-29b17782fb84,837}
{6e109996-992a-4c58-af55-a92c838ab715,904}
{6f2d09d9-1bbc-4a07-8421-7a0401457b99,965}
{c740c869-db24-4799-9325-ede21d4eaa34,1134}
{7bbb14b2-ce04-495a-8bd5-54ad51fd0cc7,1168}
{2dad1f11-deb0-4d48-82a4-69c386f3c3da,1183}
{5b52ed55-1de9-40f0-8dd2-c0fbfd1aa243,1232}
{23addba2-a681-4f5b-82de-65611745d97d,1301}
{19df5869-756b-43dd-ae23-a100569706e2,1303}
{3f7bda77-654e-4baa-818e-9ef07998a0c9,1384}
{5b45bd73-9fe7-4194-a623-04fd1ca0c4da,1520}
{fd246d35-f37b-43b0-890b-388957fe328d,1563}
{c51829e7-a236-4b83-8f9e-844be14d4db0,1618}
{6c015081-1958-448b-baa3-ca0b88d9ea24,1628}
{0c88a4fb-a7b3-4603-a543-0f406fc86eed,1917}
{d05d01b5-5448-4424-9ca1-a66d9662439b,2056}
{d1167b9c-0fec-4f1d-b9d2-4ead80d1cdb6,2153}
{ba2fa9ae-ad8a-4cb6-8263-236a2212de88,2186}
{a4e70774-cdfc-4b6a-9d82-33ab9c5e911c,2202}
{86fdf914-59e8-4a3a-b20d-3c9c0a7d4f8b,2357}
{4319351e-7a47-48b8-94e1-01276c51b32c,2392}
{f89cc737-3293-46c9-a947-b2c44bec6443,2408}
{cf0d22b6-5513-41cb-9219-9f579c3ab764,2428}
{5466c061-85ad-4a1d-9698-5184388f272d,2514}
{00260131-8126-4658-8926-90d92f31389a,2539}
{aa5dc5f5-8093-4c3b-8873-fad59edb6422,2568}
{3c16e3aa-5f2b-4b5f-8787-dd1282c9241e,2660}
{e8489592-3e50-49ab-ac33-5e107f0cd324,2709}
{ba2fa9ae-ad8a-4cb6-8263-236a2212de88,2186}
{d8b700f0-bd15-4077-bf39-08a1494ac0b1,3020}
{89051348-db20-4eed-aabc-219e4b4128d1,3172}
{6d548aeb-a07b-43c3-8c83-11a52357531b,3221}
{1d806f86-e713-4fc3-ae27-ad08feec0ad0,3226}
{13a1b36e-d730-43d9-bbae-104ce4ea9565,3341}
{9e1234f9-495f-4052-a68b-2fd601b7c9d8,3510}
{8852a101-f0ac-4ee0-8549-16351e591023,3629}
{d3490233-3477-461a-b8f4-389e91e73ed6,3754}
{3e5eff1b-3989-471a-aeb0-7827b44084b6,3773}
{3092c2e1-60c8-4e3c-bc35-2beb725c6d9d,3824}
{bfcfb2ba-a1f7-4ce0-8911-587866f5458f,3848}
{46e27af6-b60c-4e3a-af1a-780dd49243ba,3874}
{ee718161-47ff-45e5-8e47-ccf237b4c2da,4040}
{b076baea-7c1f-467a-a841-7504cc415e92,4040}
{8ca1c66c-f667-4456-a97e-1c1946d9a2a7,4131}
{add88696-b83f-4c8b-8c2b-768cd1e3be22,4142}
{948dc94b-ff80-430a-95b1-d74b1d886614,4264}
{0ec45e3c-0bd0-434f-a7bd-30d757ec0d19,4308}
{d50363f5-2e26-4850-b45a-4f9858f53592,4447}
{d50363f5-2e26-4850-b45a-4f9858f53592,4447}
{808f4821-de80-4d8b-95a8-c6dd1c1c661d,4533}
{5a359fa2-32d9-4473-8b20-bada38260fa4,4557}
{ed3a9a68-ec72-4443-8629-0dddb011aaa1,4633}
{9e1234f9-495f-4052-a68b-2fd601b7c9d8,3510}
{ed3a9a68-ec72-4443-8629-0dddb011aaa1,4633}
{b94aa5bd-1680-4b96-a009-351126e44ea4,4672}
{f4fb0197-2f68-4a8d-b4b3-28e44bcf8d78,4753}
{81520de3-c730-4059-a02f-4fbd20c2ef70,4798}
{9be531b9-c7f7-44ab-bebc-0be703c49cfe,4907}
{83c28297-b0cf-4501-b92d-7ce61afcefaf,4927}
{9f03ae2d-dde7-4191-bd04-b4c58a710bf0,4972}
{e655024c-5597-48f5-97d1-b0b1d24aed96,4993}
{dd1d820b-2843-468a-9cbf-086f36ad8e6c,5041}
{dd1d820b-2843-468a-9cbf-086f36ad8e6c,5041}
{1e28fb13-2191-4930-9255-a5527b0dee81,5085}
{97813288-50a1-4faf-93b8-6a590a699378,5131}
{0615e2fd-5933-42da-a710-288813074282,5209}
{5b45bd73-9fe7-4194-a623-04fd1ca0c4da,1520}
{c51829e7-a236-4b83-8f9e-844be14d4db0,1618}
{ba2fa9ae-ad8a-4cb6-8263-236a2212de88,2186}
{e8489592-3e50-49ab-ac33-5e107f0cd324,2709}
{ba2fa9ae-ad8a-4cb6-8263-236a2212de88,2186}
{d8b700f0-bd15-4077-bf39-08a1494ac0b1,3020}
{9e1234f9-495f-4052-a68b-2fd601b7c9d8,3510}
{d876672f-8a3c-47cf-8bb4-0509b7211fc9,205}
{d4cb8795-b0ee-4fb3-9deb-294b91107f0e,503}
{5b52ed55-1de9-40f0-8dd2-c0fbfd1aa243,1232}
{5b45bd73-9fe7-4194-a623-04fd1ca0c4da,1520}
{fd246d35-f37b-43b0-890b-388957fe328d,1563}
{c51829e7-a236-4b83-8f9e-844be14d4db0,1618}
{ba2fa9ae-ad8a-4cb6-8263-236a2212de88,2186}
{cf0d22b6-5513-41cb-9219-9f579c3ab764,2428}
{e8489592-3e50-49ab-ac33-5e107f0cd324,2709}
{ba2fa9ae-ad8a-4cb6-8263-236a2212de88,2186}
{d8b700f0-bd15-4077-bf39-08a1494ac0b1,3020}
{9e1234f9-495f-4052-a68b-2fd601b7c9d8,3510}
{ed3a9a68-ec72-4443-8629-0dddb011aaa1,4633}
{9e1234f9-495f-4052-a68b-2fd601b7c9d8,3510}
{ed3a9a68-ec72-4443-8629-0dddb011aaa1,4633}
{0615e2fd-5933-42da-a710-288813074282,5209}
{5b45bd73-9fe7-4194-a623-04fd1ca0c4da,1520}
{c740c869-db24-4799-9325-ede21d4eaa34,1134}
{7bbb14b2-ce04-495a-8bd5-54ad51fd0cc7,1168}
{2dad1f11-deb0-4d48-82a4-69c386f3c3da,1183}
{3f7bda77-654e-4baa-818e-9ef07998a0c9,1384}
{d05d01b5-5448-4424-9ca1-a66d9662439b,2056}
{f89cc737-3293-46c9-a947-b2c44bec6443,2408}
{00260131-8126-4658-8926-90d92f31389a,2539}
{8852a101-f0ac-4ee0-8549-16351e591023,3629}
{ee718161-47ff-45e5-8e47-ccf237b4c2da,4040}
{b076baea-7c1f-467a-a841-7504cc415e92,4040}
{add88696-b83f-4c8b-8c2b-768cd1e3be22,4142}
{f4fb0197-2f68-4a8d-b4b3-28e44bcf8d78,4753}
{9be531b9-c7f7-44ab-bebc-0be703c49cfe,4907}
{9f03ae2d-dde7-4191-bd04-b4c58a710bf0,4972}
{19720dd0-0206-4d17-acbb-7872d1ed0f82,5220}
{68065f06-6d39-482b-b707-727203bafa5e,5297}
{e079664d-fc0a-4835-a566-2c26cb8453ab,5355}
{1f63f22c-527a-43fc-8c11-29d6cd46a62b,5357}
{a0efb253-eb53-4aa7-8721-71b56c848718,5391}
{40fcf6cf-6381-4617-a250-15396894a8c9,5690}
{fa517d5a-b91d-4de5-b9aa-f9afe4457eb9,5756}
{85a334cb-fb33-410f-9e0d-1491d7ac2db0,5774}
{ea61605f-8469-449d-b78b-dcd9d103db50,5942}
{ad45921b-7b6e-484a-91e7-6f0e4a4e38f4,5948}
{3e5eff1b-3989-471a-aeb0-7827b44084b6,3773}
{d1167b9c-0fec-4f1d-b9d2-4ead80d1cdb6,2153}
{eb7e7b88-b5f9-418f-88ef-eb4af38e53b9,828}
{d1167b9c-0fec-4f1d-b9d2-4ead80d1cdb6,2153}
{3e5eff1b-3989-471a-aeb0-7827b44084b6,3773}
{d704103e-754b-4450-9b4e-0ce0b540e939,112}
{dc09e5d3-88d2-4cd5-9173-d14ec1f83250,156}
{34a37cad-96ae-4627-a11f-7f0825336d18,615}
{eb7e7b88-b5f9-418f-88ef-eb4af38e53b9,828}
{4f260dcb-8f12-4132-9b70-29b17782fb84,837}
{23addba2-a681-4f5b-82de-65611745d97d,1301}
{19df5869-756b-43dd-ae23-a100569706e2,1303}
{6c015081-1958-448b-baa3-ca0b88d9ea24,1628}
{d1167b9c-0fec-4f1d-b9d2-4ead80d1cdb6,2153}
{a4e70774-cdfc-4b6a-9d82-33ab9c5e911c,2202}
{86fdf914-59e8-4a3a-b20d-3c9c0a7d4f8b,2357}
{4319351e-7a47-48b8-94e1-01276c51b32c,2392}
{5466c061-85ad-4a1d-9698-5184388f272d,2514}
{aa5dc5f5-8093-4c3b-8873-fad59edb6422,2568}
{3c16e3aa-5f2b-4b5f-8787-dd1282c9241e,2660}
{89051348-db20-4eed-aabc-219e4b4128d1,3172}
{1d806f86-e713-4fc3-ae27-ad08feec0ad0,3226}
{d3490233-3477-461a-b8f4-389e91e73ed6,3754}
{3e5eff1b-3989-471a-aeb0-7827b44084b6,3773}
{3092c2e1-60c8-4e3c-bc35-2beb725c6d9d,3824}
{bfcfb2ba-a1f7-4ce0-8911-587866f5458f,3848}
{46e27af6-b60c-4e3a-af1a-780dd49243ba,3874}
{8ca1c66c-f667-4456-a97e-1c1946d9a2a7,4131}
{948dc94b-ff80-430a-95b1-d74b1d886614,4264}
{0ec45e3c-0bd0-434f-a7bd-30d757ec0d19,4308}
{d50363f5-2e26-4850-b45a-4f9858f53592,4447}
{d50363f5-2e26-4850-b45a-4f9858f53592,4447}
{808f4821-de80-4d8b-95a8-c6dd1c1c661d,4533}
{5a359fa2-32d9-4473-8b20-bada38260fa4,4557}
{81520de3-c730-4059-a02f-4fbd20c2ef70,4798}
{83c28297-b0cf-4501-b92d-7ce61afcefaf,4927}
{dd1d820b-2843-468a-9cbf-086f36ad8e6c,5041}
{dd1d820b-2843-468a-9cbf-086f36ad8e6c,5041}
{1e28fb13-2191-4930-9255-a5527b0dee81,5085}
{68065f06-6d39-482b-b707-727203bafa5e,5297}
{fa517d5a-b91d-4de5-b9aa-f9afe4457eb9,5756}
{85a334cb-fb33-410f-9e0d-1491d7ac2db0,5774}
{ea61605f-8469-449d-b78b-dcd9d103db50,5942}
{ad45921b-7b6e-484a-91e7-6f0e4a4e38f4,5948}
{3e5eff1b-3989-471a-aeb0-7827b44084b6,3773}
{d1167b9c-0fec-4f1d-b9d2-4ead80d1cdb6,2153}
{eb7e7b88-b5f9-418f-88ef-eb4af38e53b9,828}
{d1167b9c-0fec-4f1d-b9d2-4ead80d1cdb6,2153}
{3e5eff1b-3989-471a-aeb0-7827b44084b6,3773}
{d50363f5-2e26-4850-b45a-4f9858f53592,4447}
{d50363f5-2e26-4850-b45a-4f9858f53592,4447}
{81520de3-c730-4059-a02f-4fbd20c2ef70,4798}
{ad45921b-7b6e-484a-91e7-6f0e4a4e38f4,5948}
{3e5eff1b-3989-471a-aeb0-7827b44084b6,3773}
{eb7e7b88-b5f9-418f-88ef-eb4af38e53b9,828}
{d1167b9c-0fec-4f1d-b9d2-4ead80d1cdb6,2153}
{3c16e3aa-5f2b-4b5f-8787-dd1282c9241e,2660}
{3e5eff1b-3989-471a-aeb0-7827b44084b6,3773}
{bfcfb2ba-a1f7-4ce0-8911-587866f5458f,3848}
{948dc94b-ff80-430a-95b1-d74b1d886614,4264}
{0ec45e3c-0bd0-434f-a7bd-30d757ec0d19,4308}
{d50363f5-2e26-4850-b45a-4f9858f53592,4447}
{d50363f5-2e26-4850-b45a-4f9858f53592,4447}
{81520de3-c730-4059-a02f-4fbd20c2ef70,4798}
{83c28297-b0cf-4501-b92d-7ce61afcefaf,4927}
{85a334cb-fb33-410f-9e0d-1491d7ac2db0,5774}
{ea61605f-8469-449d-b78b-dcd9d103db50,5942}
{ad45921b-7b6e-484a-91e7-6f0e4a4e38f4,5948}
{3e5eff1b-3989-471a-aeb0-7827b44084b6,3773}
{d704103e-754b-4450-9b4e-0ce0b540e939,112}
{4f260dcb-8f12-4132-9b70-29b17782fb84,837}
{6c015081-1958-448b-baa3-ca0b88d9ea24,1628}
{a4e70774-cdfc-4b6a-9d82-33ab9c5e911c,2202}
{86fdf914-59e8-4a3a-b20d-3c9c0a7d4f8b,2357}
{4319351e-7a47-48b8-94e1-01276c51b32c,2392}
{5466c061-85ad-4a1d-9698-5184388f272d,2514}
{89051348-db20-4eed-aabc-219e4b4128d1,3172}
{1d806f86-e713-4fc3-ae27-ad08feec0ad0,3226}
{d3490233-3477-461a-b8f4-389e91e73ed6,3754}
{8ca1c66c-f667-4456-a97e-1c1946d9a2a7,4131}
{808f4821-de80-4d8b-95a8-c6dd1c1c661d,4533}
{dd1d820b-2843-468a-9cbf-086f36ad8e6c,5041}
{dd1d820b-2843-468a-9cbf-086f36ad8e6c,5041}
{1e28fb13-2191-4930-9255-a5527b0dee81,5085}
{fa517d5a-b91d-4de5-b9aa-f9afe4457eb9,5756}
{cdf43029-9553-4ed9-8c07-fd136f0c741a,6024}
{cdf43029-9553-4ed9-8c07-fd136f0c741a,6024}
{3b18edd7-133c-4e62-877b-d82f547fd979,6469}
{5ed9bbd7-53e1-4517-bd88-9bfe59398d7f,7107}
{53daf115-e3ac-43d9-b488-a23f447358d7,7732}
{8ca1c66c-f667-4456-a97e-1c1946d9a2a7,4131}
{8ca1c66c-f667-4456-a97e-1c1946d9a2a7,4131}
{cdf43029-9553-4ed9-8c07-fd136f0c741a,6024}
{cdf43029-9553-4ed9-8c07-fd136f0c741a,6024}
{d3490233-3477-461a-b8f4-389e91e73ed6,3754}
{dd1d820b-2843-468a-9cbf-086f36ad8e6c,5041}
{dd1d820b-2843-468a-9cbf-086f36ad8e6c,5041}
{3b18edd7-133c-4e62-877b-d82f547fd979,6469}
{5b5da060-78eb-4a38-b867-0b62955450dd,7749}
{e8deb354-36b2-4229-926f-de87d0c097b3,7954}
{d2be2abd-f3b5-40ab-943b-6ae0ab92a7e2,8088}
{4f260dcb-8f12-4132-9b70-29b17782fb84,837}
{6c015081-1958-448b-baa3-ca0b88d9ea24,1628}
{86fdf914-59e8-4a3a-b20d-3c9c0a7d4f8b,2357}
{4319351e-7a47-48b8-94e1-01276c51b32c,2392}
{5466c061-85ad-4a1d-9698-5184388f272d,2514}
{89051348-db20-4eed-aabc-219e4b4128d1,3172}
{808f4821-de80-4d8b-95a8-c6dd1c1c661d,4533}
{1e28fb13-2191-4930-9255-a5527b0dee81,5085}
{5b5da060-78eb-4a38-b867-0b62955450dd,7749}
{e8deb354-36b2-4229-926f-de87d0c097b3,7954}
{d2be2abd-f3b5-40ab-943b-6ae0ab92a7e2,8088}
{c95f366f-7fa0-46b3-940a-24691d1b5703,8531}
{fcb9b653-4c4c-4c73-957c-13f00f96c1a9,8606}
{89051348-db20-4eed-aabc-219e4b4128d1,3172}
{e8deb354-36b2-4229-926f-de87d0c097b3,7954}
{d2be2abd-f3b5-40ab-943b-6ae0ab92a7e2,8088}
{86fdf914-59e8-4a3a-b20d-3c9c0a7d4f8b,2357}
{5466c061-85ad-4a1d-9698-5184388f272d,2514}
{808f4821-de80-4d8b-95a8-c6dd1c1c661d,4533}
{5b5da060-78eb-4a38-b867-0b62955450dd,7749}
{94423a74-a34c-443e-b21c-9b1fa12ec429,9603}
{69ccf9d5-a249-4fe2-8ec7-583615105191,10244}
{5b12eda4-ae8f-4994-9a16-1ca96a9a3797,10298}
{e1ca874e-62dc-41ec-90e4-3fd4becef00e,10429}
{86fdf914-59e8-4a3a-b20d-3c9c0a7d4f8b,2357}
{808f4821-de80-4d8b-95a8-c6dd1c1c661d,4533}
{5b5da060-78eb-4a38-b867-0b62955450dd,7749}
{4f499fae-e8ad-4e64-954d-3bde13e7b390,13449}
{86fdf914-59e8-4a3a-b20d-3c9c0a7d4f8b,2357}
{85f1a4ba-17f3-48e3-ad6c-5e55034e7b3b,14333}
{f73eb79e-70e3-478c-b752-6fd37a498259,16362}


{e6f4b668-6d32-402b-be0c-bd41f061acdf,9}
{a79fe561-61a4-4af1-b582-12144e2b4dc5,114}
{e3b23bc5-922c-4818-ba5a-501ffec6a5d1,268}
{934f1e38-b473-4327-ae9d-609dfa903361,291}
{90105c96-1138-437f-9413-91149119bb3d,401}
{1a49b133-4770-41ee-8a1f-c3f327e689d8,443}
{e5a5b47d-17f4-45e2-8c5a-96ff1ca3ee5a,445}
{4c15c73a-a773-456b-8a96-4628e5a18e55,598}
{4e8179ce-58f8-4ca4-9a9e-0aa12d82fd39,660}
{6b79d7d8-2974-4d3f-9555-5ca7e1bd2d9c,733}
{7bebbe48-32e3-4bdd-a7ec-4bad4d5baa38,758}
{03dd4b6d-133c-4c65-8193-40a9815fb79e,860}
{c38127a9-e089-44fa-b93a-7b2f3f3277c1,912}
{b41529c8-77c6-476c-9cbb-402438538d55,1218}
{b8d21446-8610-42c0-be33-a19732b31ddb,1247}
{d9b3f985-8caf-46c7-833a-2b4576c43c4b,1259}
{0849375e-ca90-4835-9561-e51cc7c3eb1b,1281}
{e95ea13c-ec14-4109-a47c-234ef1a7aa30,1303}
{a1deed26-23dc-49d7-bdc4-c9b668647eac,1322}
{0ef3bcb3-fcd8-4c29-aaaa-3f1cc4c01852,1324}
{bf8b9cea-3689-4fcd-9a84-922ef2af7f93,1327}
{5ef324ef-b444-49f9-bd32-5445328f9315,1339}
{9743e415-564c-4078-af15-dca97e274422,1453}
{393fa864-5320-461a-9a6b-07329f01af3c,1581}
{ca0a10ff-7462-423c-a5fb-cf6b25030da1,1629}
{245294fc-4003-4211-b3e4-bd8b7d4b1be9,1830}
{76392b21-f05b-4922-a7db-2a2a28b9e729,1888}
{8b6cdedc-31b1-400d-89b8-fc99f20be041,1940}
{8f5f951d-a8fb-4645-817f-8f13a909900c,2109}
{708d7843-3a95-4607-8e60-f25e68282222,2158}
{9c6f2ce8-0d08-4955-be4f-61a47c31b75b,2200}
{6d1995bc-6981-4a41-8d75-c3987dcdd337,2269}
{73df3ab4-840f-42b8-8dc8-43c1a0ff41d8,2290}
{00f96382-4ceb-4d88-87a3-c125509df591,2387}
{f9fc45f1-ca9d-4efa-92fe-8a6d7985cc8e,2402}
{341fb5b9-e825-4f9d-98e5-e4f8fa7be566,2423}
{25acc569-d8af-425b-83a0-a94c55490487,2468}
{74ef3276-7188-48bb-a984-5f7f41ecbbc3,2479}
{9a8d9887-cb7a-43c8-a7e0-a0868f434738,2537}
{ff265a25-2872-4761-8b13-b54e2a9d532f,2575}
{70c96b23-54e7-4269-b55b-c426019af342,2585}
{034634ac-e18f-43a7-80d1-4a3d6b1da767,2646}
{6cd6ae45-6025-456c-9202-3ef42d32219d,2674}
{79e17739-80b1-4568-bde2-a479857e77c1,2718}
{721df755-4fdd-443a-b2f1-a32225b23059,2849}
{7a267b68-3a38-43fd-8c8a-34de08158106,2900}
{72d8f998-a424-4163-a562-04f037a9567d,2979}
{c33a0d24-dd59-4d72-a950-8607b66f48c3,3007}
{5779ca39-d51b-4ea2-9ceb-45c3aa89ee7d,3042}
{6e6e852f-48da-4e2c-8a6c-b26ca384a8e3,3086}
{e5195bda-3511-4725-84b8-1a236ae1af49,3089}
{6be12c17-5d91-4632-bf29-08f90357eda8,3175}
{a1474b82-2510-4544-bba2-d5c36328bc16,3192}
{25ebbddc-f12f-42f4-844c-08a83b92a66e,3237}
{3089d006-7e4c-4eee-a135-1afcfefa0e65,3279}
{52df568f-f95e-4e53-85f1-85932e194fda,3539}
{82e153ea-ee7f-463a-8d99-ad3a8c7bab68,3580}
{95eab4c3-3414-4f40-9947-c2e576cdee0f,3768}
{9f5dd7ee-4c75-4a95-8509-1eeea4bc4e56,3783}
{35a2b748-16f0-493d-9c38-1888e1735a25,3844}
{b0407f2c-bf0f-41d9-a289-512d0f1d301f,3879}
{5059ff4a-0ecc-49d5-b777-11d6489eb4c9,3908}
{8448219c-c37a-42c9-b41d-12672fe8b02a,3962}
{47c39373-2ff2-44e2-bdba-8dfe4954a530,3978}
{70250029-ba17-4392-8519-7cb5fca26121,4005}
{1fabafe3-1186-4981-a2ea-ec2a16191462,4084}
{ccdb831f-68ae-4c34-b468-7a3f3a0d1978,4189}
{738e4df2-a086-437e-8656-0c75c3ee397b,4217}
{150f1a2d-20ab-4ccf-8086-0e0d07798967,4371}
{5c148268-01e0-46d3-8474-e64e879845c0,4423}
{bef1e9f1-469b-4287-9bba-98a52751b2d5,4435}
{e4b23e81-0d9c-4538-8346-a779bcf37d2d,4681}
{8e11f8e8-e81d-4b28-930a-c05689bdaa99,4706}
{71f8cc61-4ac6-41dc-b143-387b62299a55,4790}
{1252524b-3c21-4e80-847c-b69d2fa9cb91,4842}
{d4a24b47-d952-4836-a1a7-9fee6c5edffd,4936}
{683b34e3-803c-4d05-b69a-efba4aa2d7ea,4941}
{ea375128-2b7d-41b2-a6ef-dff918792011,4988}
{86684b4c-56d8-4343-96af-126b8f19217a,4992}
{eee41815-ce50-4b41-a352-075df9ae05db,5004}
{5703212b-9c6e-4fc8-bdfc-85d23b6de1cb,5005}
{8ecf56a6-bf85-48e2-a179-7e67de7995d7,5036}
{379c871d-6169-40ca-9d6a-a366afff334f,5180}
{2138b8b8-b038-47e3-a3a7-87d92e02703c,5298}
{469aeae0-2b9b-4d9f-ba8e-5d44acf77bd7,5314}
{cdd728a4-ef7f-4387-b9d0-081d74fee6c2,5330}
{e111d79e-6305-4411-b265-2d072abadfbd,5339}
{521ebe00-c381-4617-879a-683cedd61cef,5361}
{2886d262-af48-4884-9640-93f867f4500d,5413}
{1401555e-0e26-4ff1-b5d0-62dc3ed48fc7,5519}
{f7da0bbb-026b-4881-98dd-71682e15d753,5533}
{001594d5-ca24-46c5-b19a-acdfd6c3a1b9,5717}
{00998d2a-079b-42ae-8125-da2bcab974fb,5721}
{47fde6ec-a17e-4bfe-b1d8-ba92df0871eb,5772}
{532196f0-dbef-4836-9379-4672ac9608c2,5801}
{ae1fb3e8-4b32-4bc1-9a39-ef435bc90679,5812}
{319fc908-eea7-4385-bb4c-946ed09fd98e,5817}
{87ef4c35-c98d-45c6-bb15-4105c20fa693,5846}
{1401555e-0e26-4ff1-b5d0-62dc3ed48fc7,5519}
{0e1f5e2f-ade8-4bd9-9684-8e075308a89c,5933}
{f42b60a3-fe66-4ab3-8ac3-6ae63270f8ad,5994}
